PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
50, 1650845178, 0.5983803868293762, -0.01086501870304346, -0.0001953071914613247, 0.8011384010314941, -0.18275514245033264, -0.161883145570755, 9.845237731933594, 0.40861111879348755, 0.33942708373069763, -0.7333868145942688, 1.5751953125, -0.56201171875, -1.22265625, 0, 
51, 1650853511, 0.5983770489692688, -0.010868736542761326, -0.0001956089836312458, 0.8011408448219299, -0.17010176181793213, -0.11860844492912292, 9.840523719787598, 0.2669643461704254, 0.36609145998954773, -0.7026752829551697, 1.57666015625, -0.5615234375, -1.2265625, 0, 
52, 1650861844, 0.5983670353889465, -0.01086878776550293, -0.0001894594170153141, 0.8011483550071716, -0.1756523698568344, -0.13325746357440948, 9.851223945617676, 0.36191630363464355, 0.3744160532951355, -0.7038279175758362, 1.57421875, -0.5634765625, -1.22265625, 0, 
53, 1650870177, 0.598365068435669, -0.010867669247090816, -0.0001855439186329022, 0.801149845123291, -0.18136748671531677, -0.14606820046901703, 9.871116638183594, 0.35272082686424255, 0.34818708896636963, -0.7253695130348206, 1.57275390625, -0.56201171875, -1.22412109375, 0, 
54, 1650878510, 0.5983566045761108, -0.010867031291127205, -0.00019370077643543482, 0.8011561632156372, -0.17688961327075958, -0.13071796298027039, 9.869549751281738, 0.21025443077087402, 0.25044316053390503, -0.7316961884498596, 1.57763671875, -0.5615234375, -1.224609375, 0, 
55, 1650886843, 0.5983599424362183, -0.010859317146241665, -0.00018218206241726875, 0.801153838634491, -0.20045126974582672, -0.14397242665290833, 9.85814094543457, 0.4926513731479645, 0.33835121989250183, -0.814993679523468, 1.5751953125, -0.5615234375, -1.2236328125, 0, 
56, 1650895176, 0.5983591675758362, -0.01085794810205698, -0.00018662435468286276, 0.8011544346809387, -0.1818680614233017, -0.11710619926452637, 9.871545791625977, 0.2579737603664398, 0.27359843254089355, -0.8575645685195923, 1.57373046875, -0.56005859375, -1.22412109375, 0, 
57, 1650903509, 0.5983632802963257, -0.010852063074707985, -0.0001840132026700303, 0.8011514544487, -0.1595873087644577, -0.13032495975494385, 9.855058670043945, 0.378924161195755, 0.28550904989242554, -0.830669641494751, 1.5751953125, -0.55859375, -1.22119140625, 0, 
58, 1650911842, 0.5983587503433228, -0.010852434672415257, -0.00018106409697793424, 0.8011547923088074, -0.16053125262260437, -0.111276775598526, 9.840673446655273, 0.3250062167644501, 0.3530794382095337, -0.7910700440406799, 1.5732421875, -0.56298828125, -1.2216796875, 0, 
59, 1650920175, 0.5983607769012451, -0.010856680572032928, -0.00017421091615688056, 0.801153302192688, -0.17556670308113098, -0.11509664356708527, 9.844143867492676, 0.34155306220054626, 0.4320993721485138, -0.7936826944351196, 1.57373046875, -0.56201171875, -1.220703125, 0, 
60, 1650928508, 0.5983548164367676, -0.0108537832275033, -0.0001793941337382421, 0.8011577129364014, -0.16844944655895233, -0.12924471497535706, 9.860466003417969, 0.262942910194397, 0.2501101791858673, -0.7740621566772461, 1.5732421875, -0.5625, -1.22119140625, 0, 
61, 1650936841, 0.5983571410179138, -0.010856220498681068, -0.0001759495062287897, 0.8011559247970581, -0.18864209949970245, -0.13308601081371307, 9.845566749572754, 0.31793665885925293, 0.38253575563430786, -0.800726592540741, 1.57373046875, -0.56298828125, -1.22021484375, 0, 
62, 1650945174, 0.598354697227478, -0.010859080590307713, -0.00016607186989858747, 0.8011577129364014, -0.17208309471607208, -0.14849302172660828, 9.845495223999023, 0.3826126158237457, 0.43811866641044617, -0.8311562538146973, 1.57470703125, -0.5625, -1.22314453125, 0, 
63, 1650953507, 0.5983506441116333, -0.010866457596421242, -0.00016966690600384027, 0.8011606335639954, -0.1717182993888855, -0.12596872448921204, 9.847655296325684, 0.19941963255405426, 0.3794364631175995, -0.6914818286895752, 1.57421875, -0.564453125, -1.22265625, 0, 
64, 1650961840, 0.5983455777168274, -0.010859735310077667, -0.00016980725922621787, 0.8011645078659058, -0.1744510382413864, -0.11665596812963486, 9.849586486816406, 0.3499288558959961, 0.2502382695674896, -0.7851274609565735, 1.57421875, -0.56201171875, -1.22509765625, 0, 
65, 1650970173, 0.5983473062515259, -0.010861567221581936, -0.00017756843590177596, 0.8011631965637207, -0.17412881553173065, -0.13261370360851288, 9.847526550292969, 0.20005998015403748, 0.2850736081600189, -0.7905576825141907, 1.57421875, -0.5625, -1.2236328125, 0, 
66, 1650978506, 0.5983374714851379, -0.010870391502976418, -0.00018317987269256264, 0.8011704683303833, -0.1887778341770172, -0.14199107885360718, 9.843570709228516, 0.160204216837883, 0.3754918575286865, -0.7048268914222717, 1.576171875, -0.560546875, -1.22314453125, 0, 
67, 1650986839, 0.5983379483222961, -0.010878545232117176, -0.00018406190793029964, 0.8011699914932251, -0.1763245165348053, -0.14686891436576843, 9.84912109375, 0.22380439937114716, 0.4099942743778229, -0.7698615193367004, 1.5751953125, -0.5625, -1.22216796875, 0, 
68, 1650995172, 0.598331093788147, -0.010879389941692352, -0.0001901171781355515, 0.8011751174926758, -0.1590506136417389, -0.134895458817482, 9.851288795471191, 0.2228822261095047, 0.2836135923862457, -0.7527511119842529, 1.5791015625, -0.56103515625, -1.22265625, 0, 
69, 1651003505, 0.5983272194862366, -0.01087882835417986, -0.0001961217785719782, 0.8011780381202698, -0.17775510251522064, -0.1314690113067627, 9.838335037231445, 0.23755918443202972, 0.271984726190567, -0.6953751444816589, 1.5771484375, -0.5595703125, -1.2216796875, 0, 
70, 1651011838, 0.5983195900917053, -0.01087808795273304, -0.00019301573047414422, 0.8011837601661682, -0.1857089400291443, -0.12792827188968658, 9.849292755126953, 0.3364045023918152, 0.3431154787540436, -0.7386120557785034, 1.5751953125, -0.5615234375, -1.22216796875, 0, 
